source_model,eval_model,epsilon,target,success_rate
vgg16,resnet152,0.0625,dog,0.09090909090909091
vgg16,resnet152,0.0625,horn,0.09090909090909091
vgg16,resnet152,0.0625,parachute,0.0
vgg16,resnet152,0.09375,dog,0.09090909090909091
vgg16,resnet152,0.09375,horn,0.18181818181818182
vgg16,resnet152,0.09375,parachute,0.0
vgg16,vgg16,0.0625,dog,0.8181818181818182
vgg16,vgg16,0.0625,horn,0.09090909090909091
vgg16,vgg16,0.0625,parachute,0.09090909090909091
vgg16,vgg16,0.09375,dog,0.7272727272727273
vgg16,vgg16,0.09375,horn,0.0
vgg16,vgg16,0.09375,parachute,0.2727272727272727
