video_name,source_model,eval_model,epsilon,original_caption,target,adversarial_caption_np,adversarial_caption_video,score,success
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.0625,A chimpanzee is doing karate moves,dog,A man is playing with a toy,A dog is sitting on a sofa,0.39713642,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.0625,A lion is walking in the grass,dog,A <UNK> is playing with a <UNK>,A lion is walking,0.18836994,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.0625,A man is cutting a pineapple,dog,A man is sitting up a bed,A man is playing with the <UNK>,0.40300694,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.0625,A man is singing and playing guitar,dog,A <UNK> of <UNK> are playing,A man is kissing a woman,0.2336315,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.0625,A man is skiing down a hill,dog,A <UNK> is sitting in the sofa,A cat is walking on the floor,0.34220746,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.0625,A man is riding a bicycle,dog,A man is looking at a woman,A man is playing with a small animal,0.35866866,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.0625,A man is throwing a ball,dog,A man is walking with a dog,A <UNK> is dancing,0.6876534,1
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.0625,A bird is eating a piece of food,dog,A man is playing with a large monkey,A <UNK> is playing with a baby,0.42156947,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.0625,A dog is playing with a puppy,dog,A man is seeing the baby,A dog is walking on a sofa,0.32916218,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.0625,A train is moving down the tracks,dog,A <UNK> <UNK> <UNK>,A <UNK> is <UNK> by a child,0.17188744,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.0625,A man is scoring a basketball,dog,A group of monkeys are talking,A <UNK> ARE PLAYING ON THE BED,0.40825498,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.0625,A man is fighting with a cat,horn,A man is playing a piano,A man is playing with a small cat,0.3769733,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.0625,A lion is walking in the grass,horn,A man is playing with a dog,A man is walking around a field,0.34242177,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.0625,A man is cutting a pineapple,horn,A man is playing a trumpet,A man is playing with a <UNK>,0.54639316,1
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.0625,A man is playing a guitar and singing,horn,A man is playing with a ball,A man is talking to a woman,0.36584198,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.0625,A man is skiing down a hill,horn,A man is playing a piano,A man is playing with a girl,0.3769733,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.0625,A man is riding a bicycle,horn,A man is playing a basketball,A man is playing with a <UNK>,0.36346576,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.0625,A man is swinging a baseball ball,horn,A man is performing a dance,A man is talking,0.3149259,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.0625,A bird is eating from a bowl,horn,A man is playing with a toy,A <UNK> is playing with a <UNK>,0.40486273,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.0625,A dog is playing with a puppy,horn,A man is playing a basketball,A man is dancing,0.36346576,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.0625,A train is moving down the tracks,horn,A young man is playing with a keyboard,A <UNK> is <UNK> <UNK>,0.3973981,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.0625,A man is shooting a basket,horn,A small boy is playing with a toy,A young woman is holding a <UNK> and the boy is dancing,0.41785073,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.0625,A chimpanzee is fighting with a man,parachute,A <UNK> is performing a <UNK>,A man is dancing,0.22423941,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.0625,A lion is walking around,parachute,A <UNK> is walking with a child,A man is walking in the forest,0.33245823,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.0625,A man is cutting a pineapple,parachute,A <UNK> is talking,A man is holding a baby,0.26941758,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.0625,A man is playing a guitar and singing,parachute,A woman is holding a baby,A man is holding a woman,0.3330005,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.0625,A man is skiing down a hill,parachute,A <UNK> is performing,A man is skating on a hill,0.28851995,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.0625,A man is riding a bicycle,parachute,A group of people are dancing,A man is walking with a monkey,0.34503588,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.0625,A man is playing baseball,parachute,A man is walking,A man is dancing,0.36301973,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.0625,A bird is eating from a bowl,parachute,A man is riding a horse,A man is walking on a rope,0.31514105,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.0625,Two puppies are playing,parachute,A man is doing some funny stunts,A baby is playing,0.4236526,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.0625,A train is going down the tracks,parachute,A <UNK> is performing on a <UNK>,A man is walking on a rope,0.24247144,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.0625,A man is throwing a basketball and kicking a basketball,parachute,A woman is dancing,A man is dancing,0.32717896,0
